FIGURE,SETTING,INDICATOR,GROUP,SUBGROUP,TIME,START_TIME,END_TIME,VALUE,MEASURE
0,IP,,,,1,01/01/2020,01/31/2020,38478,Count
0,IP,,,,2,02/01/2020,02/29/2020,35754,Count
0,IP,,,,3,03/01/2020,03/31/2020,32745,Count
0,IP,,,,4,04/01/2020,04/30/2020,26179,Count
0,IP,,,,5,05/01/2020,05/31/2020,29679,Count
0,IP,,,,6,06/01/2020,06/30/2020,32736,Count
0,IP,,,,7,07/01/2020,07/31/2020,34480,Count
0,IP,,,,8,08/01/2020,08/31/2020,34081,Count
0,IP,,,,9,09/01/2020,09/30/2020,33477,Count
0,IP,,,,10,10/01/2020,10/31/2020,34962,Count
0,IP,,,,11,11/01/2020,11/30/2020,32958,Count
0,IP,,,,12,12/01/2020,12/31/2020,34161,Count
0,IP,,,,13,01/01/2021,01/31/2021,33922,Count
0,IP,,,,14,02/01/2021,02/28/2021,31783,Count
0,IP,,,,15,03/01/2021,03/31/2021,36108,Count
0,IP,,,,16,04/01/2021,04/30/2021,35219,Count
0,IP,,,,17,05/01/2021,05/31/2021,34719,Count
0,IP,,,,18,06/01/2021,06/30/2021,35484,Count
0,IP,,,,19,07/01/2021,07/31/2021,35528,Count
0,IP,,,,20,08/01/2021,08/31/2021,35770,Count
0,IP,,,,21,09/01/2021,09/30/2021,35361,Count
0,IP,,,,22,10/01/2021,10/31/2021,35174,Count
0,IP,,,,23,11/01/2021,11/30/2021,34972,Count
0,IP,,,,24,12/01/2021,12/31/2021,34535,Count
0,IP,,,,25,01/01/2022,01/31/2022,33207,Count
0,IP,,,,26,02/01/2022,02/28/2022,30982,Count
0,IP,,,,27,03/01/2022,03/31/2022,34594,Count
0,IP,,,,28,04/01/2022,04/30/2022,34017,Count
0,IP,,,,29,05/01/2022,05/31/2022,35500,Count
0,IP,,,,30,06/01/2022,06/30/2022,34661,Count
0,IP,,,,31,07/01/2022,07/31/2022,35215,Count
0,IP,,,,32,08/01/2022,08/31/2022,36181,Count
0,IP,,,,33,09/01/2022,09/30/2022,35071,Count
0,IP,,,,34,10/01/2022,10/31/2022,37250,Count
0,IP,,,,35,11/01/2022,11/30/2022,39271,Count
0,IP,,,,36,12/01/2022,12/31/2022,39017,Count
0,IP,,,,37,01/01/2023,01/31/2023,36446,Count
0,IP,,,,38,02/01/2023,02/28/2023,33403,Count
0,IP,,,,39,03/01/2023,03/31/2023,36776,Count
0,IP,,,,40,04/01/2023,04/30/2023,31661,Count
0,IP,,,,41,05/01/2023,05/27/2023,12461,Count
0,ED,,,,1,01/01/2020,01/31/2020,124275,Count
0,ED,,,,2,02/01/2020,02/29/2020,113888,Count
0,ED,,,,3,03/01/2020,03/31/2020,97467,Count
0,ED,,,,4,04/01/2020,04/30/2020,52466,Count
0,ED,,,,5,05/01/2020,05/31/2020,65226,Count
0,ED,,,,6,06/01/2020,06/30/2020,75684,Count
0,ED,,,,7,07/01/2020,07/31/2020,84988,Count
0,ED,,,,8,08/01/2020,08/31/2020,83435,Count
0,ED,,,,9,09/01/2020,09/30/2020,81635,Count
0,ED,,,,10,10/01/2020,10/31/2020,85032,Count
0,ED,,,,11,11/01/2020,11/30/2020,81869,Count
0,ED,,,,12,12/01/2020,12/31/2020,80736,Count
0,ED,,,,13,01/01/2021,01/31/2021,83727,Count
0,ED,,,,14,02/01/2021,02/28/2021,76814,Count
0,ED,,,,15,03/01/2021,03/31/2021,87520,Count
0,ED,,,,16,04/01/2021,04/30/2021,94001,Count
0,ED,,,,17,05/01/2021,05/31/2021,100216,Count
0,ED,,,,18,06/01/2021,06/30/2021,101374,Count
0,ED,,,,19,07/01/2021,07/31/2021,105017,Count
0,ED,,,,20,08/01/2021,08/31/2021,106755,Count
0,ED,,,,21,09/01/2021,09/30/2021,102632,Count
0,ED,,,,22,10/01/2021,10/31/2021,101551,Count
0,ED,,,,23,11/01/2021,11/30/2021,96081,Count
0,ED,,,,24,12/01/2021,12/31/2021,105815,Count
0,ED,,,,25,01/01/2022,01/31/2022,94020,Count
0,ED,,,,26,02/01/2022,02/28/2022,82844,Count
0,ED,,,,27,03/01/2022,03/31/2022,96730,Count
0,ED,,,,28,04/01/2022,04/30/2022,97345,Count
0,ED,,,,29,05/01/2022,05/31/2022,110841,Count
0,ED,,,,30,06/01/2022,06/30/2022,103796,Count
0,ED,,,,31,07/01/2022,07/31/2022,104826,Count
0,ED,,,,32,08/01/2022,08/31/2022,105255,Count
