sex,time,start_time,end_time,setting,all drugs,all opioids,stimulants,cannabis,benzodiazepine
female,1,01/01/2020,01/31/2020,ip,23.4984,2.847,1.1232,1.4796,0.4444
female,1,01/01/2020,01/31/2020,ed,28.1738,1.1471,0.8674,1.669,0.2258
male,1,01/01/2020,01/31/2020,ip,30.4556,4.3222,2.9833,2.4778,0.8556
male,1,01/01/2020,01/31/2020,ed,31.9938,2.2715,2.0572,2.8585,0.5069
female,2,02/01/2020,02/29/2020,ip,24.1537,3.2661,1.2235,1.4516,0.5132
female,2,02/01/2020,02/29/2020,ed,28.3709,1.2754,0.9771,1.6889,0.2752
male,2,02/01/2020,02/29/2020,ip,29.6811,3.8567,2.8606,2.5144,0.7288
male,2,02/01/2020,02/29/2020,ed,32.1416,2.5583,2.2989,2.938,0.6053
female,3,03/01/2020,03/31/2020,ip,23.1185,3.0783,1.3234,1.5593,0.4948
female,3,03/01/2020,03/31/2020,ed,29.1896,1.3447,1.1027,1.4815,0.242
male,3,03/01/2020,03/31/2020,ip,28.9749,4.5688,2.9743,2.2909,0.9177
male,3,03/01/2020,03/31/2020,ed,33.8973,2.5189,2.4721,2.9695,0.6334
female,4,04/01/2020,04/30/2020,ip,20.5093,2.5755,1.3024,1.4707,0.3951
female,4,04/01/2020,04/30/2020,ed,33.1776,1.8276,1.5312,1.6604,0.323
male,4,04/01/2020,04/30/2020,ip,27.0221,3.7724,2.7813,2.4616,0.6634
male,4,04/01/2020,04/30/2020,ed,41.2552,3.4306,3.4688,3.6639,0.6769
female,5,05/01/2020,05/31/2020,ip,22.8251,2.995,1.2712,1.7052,0.5767
female,5,05/01/2020,05/31/2020,ed,34.4855,1.7893,1.3666,1.8697,0.3811
male,5,05/01/2020,05/31/2020,ip,29.4053,4.4864,3.2984,2.5753,0.7969
male,5,05/01/2020,05/31/2020,ed,41.1783,3.657,3.2903,3.4484,0.8502
female,6,06/01/2020,06/30/2020,ip,22.8924,2.8651,1.2052,1.6486,0.4718
female,6,06/01/2020,06/30/2020,ed,33.5586,1.5298,1.1958,1.9734,0.2907
male,6,06/01/2020,06/30/2020,ip,29.792,4.0343,2.7798,2.4497,0.7329
male,6,06/01/2020,06/30/2020,ed,39.7855,3.4556,3.025,3.4089,0.8365
female,7,07/01/2020,07/31/2020,ip,22.2459,2.9987,1.2654,1.4834,0.5264
female,7,07/01/2020,07/31/2020,ed,32.0792,1.3763,0.9965,1.8209,0.286
male,7,07/01/2020,07/31/2020,ip,29.0518,4.1475,2.7565,2.463,0.8678
male,7,07/01/2020,07/31/2020,ed,38.4365,3.1171,2.6125,3.2687,0.7631
female,8,08/01/2020,08/31/2020,ip,23.0937,2.8772,1.2618,1.6045,0.533
female,8,08/01/2020,08/31/2020,ed,32.0834,1.4859,0.9596,1.9623,0.2654
male,8,08/01/2020,08/31/2020,ip,29.5954,4.5237,2.8098,2.4721,1.0067
male,8,08/01/2020,08/31/2020,ed,39.0796,3.1611,2.6326,3.4635,0.6683
female,9,09/01/2020,09/30/2020,ip,23.2367,2.8764,1.2178,1.4382,0.562
female,9,09/01/2020,09/30/2020,ed,32.7275,1.4646,1.0471,1.9327,0.2353
male,9,09/01/2020,09/30/2020,ip,30.139,4.3643,2.766,2.4007,0.8024
male,9,09/01/2020,09/30/2020,ed,38.6812,3.1246,2.6674,3.4224,0.6375
female,10,10/01/2020,10/31/2020,ip,22.6721,2.9837,1.0758,1.5899,0.5247
female,10,10/01/2020,10/31/2020,ed,32.2691,1.4418,0.9892,2.0446,0.3334
male,10,10/01/2020,10/31/2020,ip,29.8391,4.3249,2.9205,2.4793,0.696
male,10,10/01/2020,10/31/2020,ed,38.922,3.2536,2.6421,3.4121,0.77
female,11,11/01/2020,11/30/2020,ip,23.1547,2.7297,1.1529,1.6051,0.5086
female,11,11/01/2020,11/30/2020,ed,32.8303,1.4078,0.9776,1.999,0.2438
male,11,11/01/2020,11/30/2020,ip,28.9832,4.0094,2.5223,2.2733,0.8255
male,11,11/01/2020,11/30/2020,ed,38.7348,3.0601,2.5419,3.6201,0.8516
female,12,12/01/2020,12/31/2020,ip,22.9397,2.8461,1.1946,1.3212,0.501
female,12,12/01/2020,12/31/2020,ed,30.8896,1.2527,0.9239,1.776,0.2454
male,12,12/01/2020,12/31/2020,ip,28.1695,3.6072,2.5694,2.188,0.6189
male,12,12/01/2020,12/31/2020,ed,38.1917,3.1478,2.6205,3.5313,0.7776
female,13,01/01/2021,01/31/2021,ip,22.6601,2.6702,1.2431,1.6612,0.5407
female,13,01/01/2021,01/31/2021,ed,30.9851,1.2733,0.9869,1.9782,0.2775
male,13,01/01/2021,01/31/2021,ip,28.7681,3.8478,2.7404,2.3212,0.5881
male,13,01/01/2021,01/31/2021,ed,38.1906,3.3273,2.7202,3.7166,0.794
female,14,02/01/2021,02/28/2021,ip,22.1607,2.4464,1.1786,1.6012,0.4524
female,14,02/01/2021,02/28/2021,ed,31.5148,1.3694,1.0702,2.0018,0.3429
male,14,02/01/2021,02/28/2021,ip,29.4801,3.8644,2.7565,2.2492,0.5606
male,14,02/01/2021,02/28/2021,ed,38.3389,3.112,2.5742,3.6947,0.6835
female,15,03/01/2021,03/31/2021,ip,23.5167,2.828,1.0573,1.5295,0.503
female,15,03/01/2021,03/31/2021,ed,32.3431,1.4537,1.1494,2.3369,0.3085
male,15,03/01/2021,03/31/2021,ip,28.8258,3.6393,2.8272,2.2437,0.6256
male,15,03/01/2021,03/31/2021,ed,37.9867,3.1647,2.8612,3.9957,0.7116
female,16,04/01/2021,04/30/2021,ip,22.4018,2.5864,1.065,1.4375,0.3987
female,16,04/01/2021,04/30/2021,ed,30.945,1.1428,0.9719,2.0352,0.2087
male,16,04/01/2021,04/30/2021,ip,28.6422,3.4658,2.5931,2.4075,0.458
male,16,04/01/2021,04/30/2021,ed,36.7303,2.8361,2.6004,3.4954,0.6249
female,17,05/01/2021,05/31/2021,ip,23.6733,2.7544,1.1273,1.7229,0.4467
female,17,05/01/2021,05/31/2021,ed,30.7996,1.2659,0.8748,1.914,0.2362
male,17,05/01/2021,05/31/2021,ip,28.6118,3.5066,2.8027,2.0863,0.7101
male,17,05/01/2021,05/31/2021,ed,36.0393,2.713,2.3557,3.4384,0.5583
female,18,06/01/2021,06/30/2021,ip,23.1536,2.6574,1.1418,1.2768,0.4879
female,18,06/01/2021,06/30/2021,ed,31.119,1.2392,0.9248,1.8736,0.2298
male,18,06/01/2021,06/30/2021,ip,29.5307,4.0328,2.7255,2.3186,0.555
male,18,06/01/2021,06/30/2021,ed,35.517,2.7263,2.3794,3.1477,0.5257
female,19,07/01/2021,07/31/2021,ip,22.6098,2.6624,1.0268,1.2641,0.4076
female,19,07/01/2021,07/31/2021,ed,29.7564,1.2225,0.7864,1.6943,0.1984
male,19,07/01/2021,07/31/2021,ip,28.4635,3.8707,2.7435,2.2914,0.7865
male,19,07/01/2021,07/31/2021,ed,33.7668,2.5333,2.142,2.9654,0.4851
female,20,08/01/2021,08/31/2021,ip,22.1843,2.434,1.2118,1.2852,0.5036
female,20,08/01/2021,08/31/2021,ed,28.3705,1.1188,0.7217,1.3817,0.2065
male,20,08/01/2021,08/31/2021,ip,27.1683,3.6212,2.8311,2.065,0.6464
male,20,08/01/2021,08/31/2021,ed,32.2219,2.3379,2.0764,2.2621,0.4712
female,21,09/01/2021,09/30/2021,ip,22.335,2.5401,1.1503,1.5199,0.4372
female,21,09/01/2021,09/30/2021,ed,27.5903,1.2332,0.8295,0.7816,0.2046
male,21,09/01/2021,09/30/2021,ip,27.1782,3.5606,2.5822,2.0311,0.6626
male,21,09/01/2021,09/30/2021,ed,30.6711,2.4266,1.8871,1.3104,0.4444
female,22,10/01/2021,10/31/2021,ip,22.3097,2.4765,1.0809,1.4586,0.4093
female,22,10/01/2021,10/31/2021,ed,28.5164,1.2266,0.8022,0.7948,0.2717
male,22,10/01/2021,10/31/2021,ip,26.7763,3.3944,2.5008,1.9919,0.6392
male,22,10/01/2021,10/31/2021,ed,31.5783,2.3879,2.0178,1.1898,0.4161
female,23,11/01/2021,11/30/2021,ip,21.7877,2.265,1.0108,1.4606,0.344
female,23,11/01/2021,11/30/2021,ed,28.5468,1.0864,0.6968,0.7575,0.1781
male,23,11/01/2021,11/30/2021,ip,27.7494,3.4897,2.6499,2.0839,0.535
male,23,11/01/2021,11/30/2021,ed,31.6138,1.9936,1.7292,1.2535,0.4001
female,24,12/01/2021,12/31/2021,ip,21.0976,2.3706,0.9526,1.2557,0.4113
female,24,12/01/2021,12/31/2021,ed,27.2884,0.8571,0.5403,0.6635,0.081
male,24,12/01/2021,12/31/2021,ip,27.0503,3.3003,2.6963,1.9366,0.7037
male,24,12/01/2021,12/31/2021,ed,29.8045,1.6389,1.3348,1.0389,0.2408
female,25,01/01/2022,01/31/2022,ip,21.4796,2.5,1.0374,1.4229,0.4819
female,25,01/01/2022,01/31/2022,ed,28.4149,0.819,0.55,0.6835,0.1517
male,25,01/01/2022,01/31/2022,ip,26.3506,3.623,2.6274,2.1327,0.6617
male,25,01/01/2022,01/31/2022,ed,31.6781,1.7816,1.4181,1.196,0.3096
female,26,02/01/2022,02/28/2022,ip,22.0191,2.7154,1.1043,1.4905,0.4646
female,26,02/01/2022,02/28/2022,ed,28.5198,0.9444,0.7249,0.7912,0.1601
male,26,02/01/2022,02/28/2022,ip,27.8279,3.9139,3.0604,2.2484,0.7356
male,26,02/01/2022,02/28/2022,ed,32.0916,2.0326,1.6261,1.1812,0.2352
female,27,03/01/2022,03/31/2022,ip,22.5724,2.4641,1.2998,1.3702,0.612
female,27,03/01/2022,03/31/2022,ed,29.0692,0.7781,0.5821,0.8169,0.1067
male,27,03/01/2022,03/31/2022,ip,29.2269,3.782,3.0132,2.4986,0.7502
male,27,03/01/2022,03/31/2022,ed,31.3824,1.7349,1.3786,1.1662,0.1815
female,28,04/01/2022,04/30/2022,ip,23.2005,2.3903,1.1924,1.5627,0.49
female,28,04/01/2022,04/30/2022,ed,27.8605,0.8162,0.6068,0.8569,0.1027
male,28,04/01/2022,04/30/2022,ip,28.7649,3.6547,2.7922,2.3321,0.5942
male,28,04/01/2022,04/30/2022,ed,30.0789,1.5952,1.2783,1.0707,0.1879
female,29,05/01/2022,05/31/2022,ip,23.3525,2.5107,1.1492,1.3874,0.5021
female,29,05/01/2022,05/31/2022,ed,26.8552,0.8185,0.5885,0.854,0.1218
male,29,05/01/2022,05/31/2022,ip,28.3816,3.6891,2.7745,2.0206,0.6303
male,29,05/01/2022,05/31/2022,ed,29.2676,1.6013,1.4059,1.1352,0.1837
female,30,06/01/2022,06/30/2022,ip,23.1666,2.7919,1.3068,1.2798,0.5238
